Activity,Class,Term,Format,Instr,School,,,,,,,,,,
"Z, AB",14,email@domain.com,7 (M),Black,3.32 (2),3.6 (3),"Fri15,Fri14,Fri13,Fri12,Fri11,Fri10,Thu21,Thu20,Thu19,Thu18,Thu15,Thu14,Thu13,Thu9,Thu8,Wed17,Wed16,Wed15,Wed14,Wed13,Wed10,Wed9,Wed8,Tue19,Tue18,Tue17,Tue10,Tue9,Tue8,Mon19,Mon18,Mon17,Mon14,Mon13,Mon11,Mon10,Mon9,Mon8",OK,16 (4),0 (1),Senior,None,Prefers Ideas,Lacrosse (W),
"Z, AC",15,email@domain.com,7 (M),White,3.00 (1),3.15 (2),"Mon11,Mon12,Mon13,Tue9,Tue10,Tue11,Tue15,Tue16,Tue17,Tue18,Tue19,Wed11,Wed12,Wed13,Wed15,Wed16,Wed17,Thu9,Thu10,Thu11,Thu15,Thu16,Thu17,Thu18,Thu19,Fri9,Fri10,Fri11",Avoid,0 (1),0 (1),Senior,Basic,Prefers Ideas,,
Scores:,,,,0,4,1,4.33,-0.67,-2,2,0,1,0.67,0,10.33
,,,,,,,,,,,,,,,
#NOTE: team members are not guarnteed to be grouped next to each other!,,,,,,,,,,,,,,,
Name,Student ID,Email,Team,,,,,,,,,,,,
Rater Practice,,,,,,,,,,,,,,,
Student,Team,Max Rater Practice Score,Average Rater Practice Score,Total Attempts,,,,,,,,,,,
"A, B",1 (M),,,,,,,,,,,,,,
"C, D",1 (M),,,,,,,,,,,,,,
"E, F",1 (M),,,,,,,,,,,,,,
"H, I",8 (M),,,,,,,,,,,,,,
"J, K",8 (M),,,,,,,,,,,,,,
"L, M",8 (M),,,,,,,,,,,,,,
"N, O",5 (M),,,,,,,,,,,,,,
"P, Q",5 (M),,,,,,,,,,,,,,
"R, S",5 (M),,,,,,,,,,,,,,
"T, U",6 (M),,,,,,,,,,,,,,
"V, W",6 (M),,,,,,,,,,,,,,
"X, Y",6 (M),,,,,,,,,,,,,,
"Z, AA",7 (M),,,,,,,,,,,,,,
"Z, AB",7 (M),,,,,,,,,,,,,,
"Z, AC",7 (M),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Comments,,,,,,,,,,,,,,,
"A, B",1,email@domain.com,1 (M),,,,,,,,,,,,
"C, D",2,email@domain.com,1 (M),,,,,,,,,,,,
"E, F",3,email@domain.com,1 (M),,,,,,,,,,,,
"H, I",4,email@domain.com,8 (M),,,,,,,,,,,,
"J, K",5,email@domain.com,8 (M),,,,,,,,,,,,
"L, M",6,email@domain.com,8 (M),,,,,,,,,,,,
"N, O",7,email@domain.com,5 (M),,,,,,,,,,,,
"P, Q",8,email@domain.com,5 (M),,,,,,,,,,,,
"R, S",9,email@domain.com,5 (M),"i don&#39;t know what to put here, i&#39;m not very good at group work. I don&#39;t possess people skills.",,,,,,,,,,,
"T, U",10,email@domain.com,6 (M),,,,,,,,,,,,
"V, W",11,email@domain.com,6 (M),,,,,,,,,,,,
"X, Y",12,email@domain.com,6 (M),This thing seems like a ripoff.,,,,,,,,,,,
"Z, AA",13,email@domain.com,7 (M),,,,,,,,,,,,
"Z, AB",14,email@domain.com,7 (M),,,,,,,,,,,,
"Z, AC",15,email@domain.com,7 (M),,,,,,,,,,,,
